word	count	candidate	candidate_count	score
um-chan	1	umchan	116	0.923
adoh-in	1	doh-in	53	0.923
atiuvem	1	atiuve	386	0.923
pum-pin	1	pumpin	84	0.923
aphunga	1	phunga	431	0.923
aphunga	1	aphung	54	0.923
ngaitom	1	ngaito	95	0.923
atheiya	1	theiya	181	0.923
chutian	1	chutia	156	0.923
aneiyem	1	aneiye	58	0.923
'koiham	1	koiham	148	0.923
chonnau	1	chonna	220	0.923
avangin	1	vangin	239	0.923
aman-in	1	amanin	95	0.923
'nangma	1	nangma	2254	0.923
pum-pia	1	pumpia	115	0.923
ding-un	1	dingun	142	0.923
'keiman	1	keiman	2777	0.923
vachoi	1	vahchoi	84	0.923
a-chung	1	achung	72	0.923
amanjin	1	amanin	95	0.923
heilou	1	theilou	101	0.923
apeltai	1	apetai	69	0.923
koikhom	1	kikhom	88	0.923
laiying	1	laiyin	108	0.923
chamona	1	chamna	192	0.923
lha-gao	1	lhagao	460	0.923
din-gin	1	dingin	1598	0.923
nachuti	1	achuti	72	0.923
dim-set	1	dimset	151	0.923
abolnah	1	abolna	54	0.923
ahetai	1	achetai	70	0.923
chenge	1	chengte	154	0.923
chenge	1	chengse	1347	0.923
anguva	1	banguva	52	0.923
ahoilou	1	ahilou	77	0.923
akitnin	1	akitin	61	0.923
solhah	1	solchah	77	0.923
kalhuh	1	kalchuh	98	0.923
ngamun	1	ngahmun	267	0.923
theiyan	1	theiya	181	0.923
jousela	1	jousea	360	0.923
nang-ho	1	nangho	1488	0.923
to-bang	1	tobang	701	0.923
jong-le	1	jongle	151	0.923
ama-toh	1	amatoh	58	0.923
ihiuvem	1	ihiuve	54	0.923
jongule	1	jongle	151	0.923
lhahnan	1	lhahna	53	0.923
kakisil	1	akisil	51	0.923
maicha	1	maicham	461	0.923
kitana	1	kitahna	74	0.923
aphatah	1	phatah	86	0.923
achutia	1	chutia	156	0.923
achutia	1	achuti	72	0.923
kakomah	1	kakoma	59	0.923
atahsaa	1	atahsa	114	0.923
pa-then	1	pathen	3403	0.923
lhah-na	1	lhahna	53	0.923
na-lung	1	nalung	137	0.923
thu-dol	1	thudol	267	0.923
kachuti	1	achuti	72	0.923
hilpha	1	thilpha	231	0.923
inailut	1	nailut	55	0.923
athitah	1	ahitah	50	0.923
hichema	1	hichea	665	0.923
khomjin	1	khomin	69	0.923
achanin	1	chanin	61	0.923
ngasah	1	ngaisah	55	0.923
achungu	1	achung	72	0.923
kasohte	1	asohte	86	0.923
asumkon	1	sumkon	93	0.923
lulkhuh	1	lukhuh	61	0.923
solcha	1	solchah	77	0.923
hijenga	1	hijeng	128	0.923
atwikhanglen	1	twikhanglena	52	0.917
twikhanglenah	1	twikhanglen	302	0.917
alonge	1	along	55	0.909
kanga	1	khanga	51	0.909
abanga	1	banga	1113	0.909
abanga	1	abang	142	0.909
nipen	1	neipen	54	0.909
gamsat	1	gamsa	100	0.909
alleng	1	aleng	64	0.909
bangpa	1	banga	1113	0.909
chapaa	1	chapa	2153	0.909
tupate	1	tupat	85	0.909
annoi	1	vannoi	246	0.909
eichin	1	eihin	89	0.909
louvai	1	louva	695	0.909
lhoni	1	lhonin	533	0.909
gamlat	1	gamla	119	0.909
hoijya	1	hoiya	101	0.909
namasa	1	amasa	92	0.909
kamasa	1	amasa	92	0.909
ikitan	1	kitan	74	0.909
ikipat	1	kipat	107	0.909
khomi	1	khompi	85	0.909
khomi	1	khomin	69	0.909
hungta	1	hunga	74	0.909
hichum	1	hichu	423	0.909
hungah	1	hunga	74	0.909
eidoh	1	seidoh	55	0.909
kamhei	1	kahei	53	0.909
toudoh	1	todoh	70	0.909
kaimun	1	kamun	81	0.909
nambol	1	nabol	399	0.909
janung	1	anung	158	0.909
te-nia	1	tenia	66	0.909
anadum	1	anaum	61	0.909
khata	1	khatma	94	0.909
keimah	1	keima	2540	0.909
panpa	1	pangpa	55	0.909
langma	1	langa	182	0.909
nathaa	1	natha	60	0.909
atwiya	1	twiya	66	0.909
avacha	1	vacha	74	0.909
hengma	1	henga	1904	0.909
sellah	1	selah	73	0.909
apheng	1	pheng	82	0.909
apheng	1	apeng	104	0.909
apheng	1	aheng	87	0.909
nungma	1	nunga	171	0.909
twiah	1	twinah	65	0.909
twiya-	1	twiya	66	0.909
govama	1	govam	57	0.909
hijeha	1	hijeh	2112	0.909
natona	1	natna	56	0.909
ahitih	1	aitih	81	0.909
natena	1	natna	56	0.909
lukhu	1	lukhuh	61	0.909
dungal	1	dunga	692	0.909
lajing	1	ajing	58	0.909
uhileh	1	hileh	306	0.909
salaam	1	salam	78	0.909
levin	1	leuvin	114	0.909
khelma	1	khela	50	0.909
akimuu	1	akimu	57	0.909
ilhung	1	lhung	353	0.909
ikihei	1	kihei	95	0.909
lpijeh-inem	1	ipijeh-inem	93	0.909
achuna	1	achun	73	0.909
hudol	1	thudol	267	0.909
dinghu	1	dingu	1361	0.909
kaphin	1	kahin	492	0.909
pangpi	1	panpi	69	0.909
umpia	1	pumpia	115	0.909
lhonai	1	lhona	166	0.909
hel-in	1	helin	103	0.909
umpin	1	pumpin	84	0.909
kaminu	1	kamin	52	0.909
i-bola	1	ibola	91	0.909
gakimu	1	akimu	57	0.909
kathal	1	katha	51	0.909
humtah	1	umtah	284	0.909
hikomu	1	hikom	69	0.909
ebron	1	hebron	87	0.909
hammon	1	ammon	172	0.909
langsa	1	langa	182	0.909
jengsa	1	jenga	480	0.909
napana	1	napan	74	0.909
atemin	1	temin	155	0.909
achone	1	achon	72	0.909
athuma	1	thuma	55	0.909
athuma	1	athum	60	0.909
keibol	1	kibol	202	0.909
hiuleh	1	hileh	306	0.909
ititle	1	itile	807	0.909
achenu	1	achen	209	0.909
leset	1	leiset	1040	0.909
indang	1	indan	204	0.909
hounau	1	houna	67	0.909
sakeng	1	akeng	85	0.909
neikho	1	nikho	763	0.909
ateng	1	atheng	105	0.909
neiye	1	aneiye	58	0.909
amapua	1	amapa	247	0.909
