Vocabulary	Count
sopipa	40
agilou	40
anah	40
khonung	40
kibang	40
akichai	40
anoiya	40
tulai	40
aleh	40
ave	40
chansah	40
akihot	40
ijat	40
kihou	40
nikhat	40
nachung	40
sim	40
akengphang	40
touthem	40
aaronin	40
thoa	40
hichenga	40
nachonset	40
kidah	40
ahinchoi	40
meilhum	40
lunghanna	40
ia	40
vaipin	40
mithengte	40
kiseiho	40
donbut	40
kasol	40
shiloh	40
anapoi	40
nahiuvem	40
heuvin	40
joram	40
ka-pa	40
michonse	40
judea	40
ajamdoh	39
keiyuve	39
negeb	39
jotna	39
melse	39
hopsoma	39
lima	39
akai	39
akicha	39
ne	39
alhan	39
nasoh	39
neilouva	39
gaosapna	39
dam	39
kang	39
gamkaiya	39
akitoldoh	39
je	39
alhoh	39
thensona	39
adou	39
bat	39
michom	39
themtah	39
amanchah	39
alhut	39
aseisa	39
theiye	39
apange	39
noimigam	39
kaseiyin	39
upaho	39
thanopna	39
gath	39
lengvaipoa	39
adab	39
themgaopan	39
husa	39
dihtah	39
hengah	39
pipuiho	39
uhen	38
penin	38
kivah	38
at	38
hamath	38
kilah-in	38
minin	38
kichen	38
napate	38
geh	38
phang	38
kanu	38
chamin	38
asut	38
mitea	38
khatjoh	38
dauva	38
pena	38
neihil	38
leiya	38
chuh	38
bangu	38
kapehsa	38
mi-upa	38
amang	38
louhelna	38
avuitauve	38
pouva	38
nachenna	38
douva	38
tijatna	38
manna	38
akisop	38
ex	38
namelmate	38
lia	38
agimnam	38
jingu	38
lungdei	38
sottol	38
jabol	38
pengkul	38
ramah	38
selangdah	38
zechari	38
persia	38
philip	38
luchang	37
tunin	37
innei	37
nachapate	37
alet	37
ahoh	37
akeova	37
chaldea	37
nagam	37
tiuvin	37
kilhonin	37
natonga	37
gala	37
galbol	37
ainsunga	37
lhangkhal	37
chitin	37
kahisah	37
val	37
kimudoh	37
thoudoh	37
beihela	37
ginna	37
akihahsel	37
aneuvin	37
hai	37
katoh	37
alampi	37
hetman	37
kachonset	37
atuh	37
vaihoma	37
loujaova	37
changseh	37
nachate	37
jung	37
achutile	37
lunggel	37
aboldam	37
tup	37
aning	37
kinbolna	37
akhom	37
akisemin	37
abola	37
chutobanga	37
kilom	37
munsang	37
kisimdoh	37
akichoi	37
chinga	37
kichom	37
hetkhen	37
ahen	37
kihot	37
nahuhdoh	37
angol	37
lhunge	37
lekhajol	37
houhil	37
lunga	36
khai	36
gamtina	36
neiseipeh	36
jang	36
cheh-u	36
bouve	36
